table,col,model,panel,row,coef,se,p,N
regression,1,Model 1: pooled,constant,Constant,.0652191247226185,.10483785,.53395915,
regression,2,Model 2: BAME,constant,Constant,-.2924865819465923,.2276179,.19907281,
regression,3,Model 2: Non-BAME,constant,Constant,.1111317130081275,.11036279,.31409708,
regression,1,Model 1: pooled,demographics,Age 16-29,-.1230303465227831,.073835984,.095836997,
regression,2,Model 2: BAME,demographics,Age 16-29,-.0876537187670246,.18041715,.62718022,
regression,3,Model 2: Non-BAME,demographics,Age 16-29,-.1274505473070811,.076952964,.09786734,
regression,1,Model 1: pooled,demographics,Age 30-49,-.0372701219058046,.074123256,.61515826,
regression,2,Model 2: BAME,demographics,Age 30-49,.0525264701626404,.17302431,.76150775,
regression,3,Model 2: Non-BAME,demographics,Age 30-49,-.0498524050495449,.07680805,.51639456,
regression,1,Model 1: pooled,demographics,Age 50-69,.0479349699670756,.05119399,.34922564,
regression,2,Model 2: BAME,demographics,Age 50-69,.0901527365714515,.16665795,.5886578,
regression,3,Model 2: Non-BAME,demographics,Age 50-69,.0393386368922967,.051158015,.44202435,
regression,1,Model 1: pooled,demographics,Female,-.1866095513415474,.030835262,1.7430598e-09,
regression,2,Model 2: BAME,demographics,Female,-.143483181245314,.079241954,.070466824,
regression,3,Model 2: Non-BAME,demographics,Female,-.1953968856462958,.032056171,1.3537667e-09,
regression,1,Model 1: pooled,employment,Employment reduction,.0175463844876397,.03995008,.66056448,
regression,2,Model 2: BAME,employment,Employment reduction,-.0426828730122143,.09613882,.65715271,
regression,3,Model 2: Non-BAME,employment,Employment reduction,.0257519386127532,.041740026,.53734541,
regression,1,Model 1: pooled,employment,Job loss,-.1968973999912268,.098468408,.045695677,
regression,2,Model 2: BAME,employment,Job loss,-.3215985951532334,.23755035,.17608081,
regression,3,Model 2: Non-BAME,employment,Job loss,-.1631006459048618,.094217606,.083618484,
regression,1,Model 1: pooled,employment,Key worker,.0391578037406213,.049327102,.42739496,
regression,2,Model 2: BAME,employment,Key worker,.0124952475710773,.10721382,.9072423,
regression,3,Model 2: Non-BAME,employment,Key worker,.0400473319188125,.05238289,.44467092,
regression,1,Model 1: pooled,employment,Self-employed,-.0527894442221273,.053132463,.3205803,
regression,2,Model 2: BAME,employment,Self-employed,.0113240863711926,.10850168,.91689694,
regression,3,Model 2: Non-BAME,employment,Self-employed,-.0629355144006528,.056054011,.26169923,
regression,1,Model 1: pooled,financial,Financial better,.2158212151224419,.046272483,3.3308511e-06,
regression,2,Model 2: BAME,financial,Financial better,.0595671630956644,.11839201,.61497241,
regression,3,Model 2: Non-BAME,financial,Financial better,.2366757416105833,.047514841,6.9805526e-07,
regression,1,Model 1: pooled,financial,Financial difficulties,-.0826748546041053,.046079185,.072952829,
regression,2,Model 2: BAME,financial,Financial difficulties,-.0636109260874968,.11045755,.56481296,
regression,3,Model 2: Non-BAME,financial,Financial difficulties,-.087910997741712,.047418851,.063926943,
regression,1,Model 1: pooled,financial,Financial worse,-.2189644709201623,.042881049,3.6376787e-07,
regression,2,Model 2: BAME,financial,Financial worse,-.3291126179423224,.11627017,.0047328519,
regression,3,Model 2: Non-BAME,financial,Financial worse,-.2074163800712033,.044269394,3.0228807e-06,
regression,1,Model 1: pooled,footer,Observations,,,,12533
regression,2,Model 2: BAME,footer,Observations,,,,1866
regression,3,Model 2: Non-BAME,footer,Observations,,,,10667
regression,1,Model 1: pooled,health,Arthritis,.1234843443985349,.056038052,.027681883,
regression,2,Model 2: BAME,health,Arthritis,.2208284266770768,.29505801,.45436829,
regression,3,Model 2: Non-BAME,health,Arthritis,.1152901742569745,.05141532,.025071383,
regression,1,Model 1: pooled,health,COVID symptoms,-.0903809237657202,.046297401,.051073711,
regression,2,Model 2: BAME,health,COVID symptoms,-.1222996421030028,.11869677,.30307582,
regression,3,Model 2: Non-BAME,health,COVID symptoms,-.0859592275750259,.047899585,.072903685,
regression,1,Model 1: pooled,health,Cardiovascular condition,.0089704087503948,.044051982,.83866417,
regression,2,Model 2: BAME,health,Cardiovascular condition,-.1021183342027885,.13525601,.45041415,
regression,3,Model 2: Non-BAME,health,Cardiovascular condition,.0187854887452899,.044189591,.6708107,
regression,1,Model 1: pooled,health,Endocrine condition,.0074207016618974,.050187327,.88247001,
regression,2,Model 2: BAME,health,Endocrine condition,.1949008398191815,.19617449,.32068622,
regression,3,Model 2: Non-BAME,health,Endocrine condition,-.0182344182073643,.048484426,.70689934,
regression,1,Model 1: pooled,health,Other chronic condition,.0322899486160133,.048843186,.50863767,
regression,2,Model 2: BAME,health,Other chronic condition,.0857315181884225,.1507086,.56957257,
regression,3,Model 2: Non-BAME,health,Other chronic condition,.0224544483594731,.04910142,.64750981,
regression,1,Model 1: pooled,health,Respiratory condition,-.0035733975030606,.050189555,.94324815,
regression,2,Model 2: BAME,health,Respiratory condition,-.0274069598294761,.14537448,.85049939,
regression,3,Model 2: Non-BAME,health,Respiratory condition,.0022216373358807,.050981168,.96524632,
regression,1,Model 1: pooled,household,Dependent children,-5.95664219817e-06,.047725566,.9999004,
regression,2,Model 2: BAME,household,Dependent children,-.0234113754278334,.090289421,.79545915,
regression,3,Model 2: Non-BAME,household,Dependent children,.0018127561276941,.051198971,.97176015,
regression,1,Model 1: pooled,household,Dependent children squared,-.0153351498519617,.014241341,.2817136,
regression,2,Model 2: BAME,household,Dependent children squared,-.0069954415835378,.023201728,.76308757,
regression,3,Model 2: Non-BAME,household,Dependent children squared,-.0163242998839836,.015488661,.29205823,
regression,1,Model 1: pooled,household,Single occupancy,.0641864414563427,.13208979,.62707651,
regression,2,Model 2: BAME,household,Single occupancy,.3142483132843792,.18117997,.083124228,
regression,3,Model 2: Non-BAME,household,Single occupancy,.0411670303454094,.1390761,.76726431,
regression,1,Model 1: pooled,household,Single occupancy x children,-.184961483160811,.24234344,.44543332,
regression,2,Model 2: BAME,household,Single occupancy x children,-.3810089725061306,.24101111,.11420029,
regression,3,Model 2: Non-BAME,household,Single occupancy x children,-.1871210268365809,.31108874,.54758656,
regression,1,Model 1: pooled,household,Single occupancy x children squared,.0993355920319305,.08787673,.25846168,
regression,2,Model 2: BAME,household,Single occupancy x children squared,.1214099307011034,.057661343,.035473302,
regression,3,Model 2: Non-BAME,household,Single occupancy x children squared,.1074131676289642,.1261176,.3945086,
regression,1,Model 1: pooled,housing,Bedroom-per-person ratio,-.0750601254461083,.090858653,.40884721,
regression,2,Model 2: BAME,housing,Bedroom-per-person ratio,.1792219788137633,.2037227,.37919953,
regression,3,Model 2: Non-BAME,housing,Bedroom-per-person ratio,-.1143655323633881,.095677771,.23213263,
regression,1,Model 1: pooled,housing,Bedroom-per-person ratio squared,.0089635782033995,.023145214,.69859856,
regression,2,Model 2: BAME,housing,Bedroom-per-person ratio squared,-.0474160006310985,.050103795,.34417999,
regression,3,Model 2: Non-BAME,housing,Bedroom-per-person ratio squared,.0184724041499808,.024175042,.44490984,
regression,1,Model 1: pooled,housing,Number of rooms,-.0322217022277956,.029844115,.28043723,
regression,2,Model 2: BAME,housing,Number of rooms,.1250477891229028,.14392465,.38512748,
regression,3,Model 2: Non-BAME,housing,Number of rooms,-.0379394531885071,.030209038,.20932968,
regression,1,Model 1: pooled,housing,Number of rooms squared,.0036888386605163,.0031410379,.2403919,
regression,2,Model 2: BAME,housing,Number of rooms squared,-.0246054805899604,.024451867,.31450623,
regression,3,Model 2: Non-BAME,housing,Number of rooms squared,.0044046329457093,.0030978215,.15525785,
regression,1,Model 1: pooled,main,BAME,.0129235596017092,.052900687,.80702788,
