table,col,model,panel,row,coef,se,p,N
oaxaca,1,Oaxaca: pooled price,explained_demographics,Age 16-29,.0104967379533226,.0063736839,.099581249,
oaxaca,2,Oaxaca: WM price,explained_demographics,Age 16-29,.0108738618958716,.0067329309,.10630497,
oaxaca,1,Oaxaca: pooled price,explained_demographics,Age 30-49,.0051205201253512,.0089817401,.56860763,
oaxaca,2,Oaxaca: WM price,explained_demographics,Age 30-49,.0068491926052326,.0095967557,.4754135,
oaxaca,1,Oaxaca: pooled price,explained_demographics,Age 50-69,.0053699636332708,.0052021365,.3019498,
oaxaca,2,Oaxaca: WM price,explained_demographics,Age 50-69,.0044069507009011,.00529896,.40559903,
oaxaca,1,Oaxaca: pooled price,explained_demographics,Female,.0013951768363959,.0041419389,.73623639,
oaxaca,2,Oaxaca: WM price,explained_demographics,Female,.0014608748951904,.004337335,.73625714,
oaxaca,1,Oaxaca: pooled price,explained_employment,Employment reduction,-.000051148930498,.00038618303,.89463043,
oaxaca,2,Oaxaca: WM price,explained_employment,Employment reduction,-.0000750686911723,.00055763108,.89291179,
oaxaca,1,Oaxaca: pooled price,explained_employment,Job loss,.0050566199154094,.0035347829,.15256441,
oaxaca,2,Oaxaca: WM price,explained_employment,Job loss,.0041886686890503,.0034997344,.23136374,
oaxaca,1,Oaxaca: pooled price,explained_employment,Key worker,-.0001039017004819,.00063587708,.87020427,
oaxaca,2,Oaxaca: WM price,explained_employment,Key worker,-.0001062619832739,.00065182609,.8705011,
oaxaca,1,Oaxaca: pooled price,explained_employment,Self-employed,.0011170838116924,.0011405402,.32736561,
oaxaca,2,Oaxaca: WM price,explained_employment,Self-employed,.0013317860294508,.0012885329,.30133829,
oaxaca,1,Oaxaca: pooled price,explained_financial,Financial difficulties,.0088486745625691,.0047908495,.06474787,
oaxaca,2,Oaxaca: WM price,explained_financial,Financial difficulties,.009409098004613,.0050918176,.064618841,
oaxaca,1,Oaxaca: pooled price,explained_financial,Financial status improved,-.0062304853144849,.0044381996,.16036895,
oaxaca,2,Oaxaca: WM price,explained_financial,Financial status improved,-.0068325290985085,.0048561781,.1594343,
oaxaca,1,Oaxaca: pooled price,explained_financial,Financial status worsened,.008122174738379,.0042152032,.053995065,
oaxaca,2,Oaxaca: WM price,explained_financial,Financial status worsened,.0076938147794516,.0040456359,.057202972,
oaxaca,1,Oaxaca: pooled price,explained_health,Arthritis,.0053725676644849,.0030245434,.075679593,
oaxaca,2,Oaxaca: WM price,explained_health,Arthritis,.0050160549927429,.0028779816,.08134982,
oaxaca,1,Oaxaca: pooled price,explained_health,COVID symptoms,.0051329385593448,.0027692849,.06380716,
oaxaca,2,Oaxaca: WM price,explained_health,COVID symptoms,.0048818203595158,.0028627608,.088141471,
oaxaca,1,Oaxaca: pooled price,explained_health,Cardiovascular condition,.000829631037199,.0037077097,.82294536,
oaxaca,2,Oaxaca: WM price,explained_health,Cardiovascular condition,.0017373817565849,.0038563432,.65233141,
oaxaca,1,Oaxaca: pooled price,explained_health,Endocrine condition,-.0001033361535597,.00068525888,.88013452,
oaxaca,2,Oaxaca: WM price,explained_health,Endocrine condition,.000253921357548,.00074237166,.73232025,
oaxaca,1,Oaxaca: pooled price,explained_health,Other chronic condition,.0014641817061888,.0020488391,.47483173,
oaxaca,2,Oaxaca: WM price,explained_health,Other chronic condition,.0010181927788574,.0020667904,.62226385,
oaxaca,1,Oaxaca: pooled price,explained_health,Respiratory condition,-.0001157285199859,.0014291499,.93546009,
