table,col,model,panel,row,coef,se,p,N
regression,1,Model 1: pooled,constant,Constant,.1088190198513877,.11125398,.32817066,
regression,2,Model 2: BIP,constant,Constant,-.125823431396186,.41326118,.76099843,
regression,3,Model 2: Non-BIP,constant,Constant,.1111317130081275,.11139747,.31862622,
regression,1,Model 1: pooled,demographics,Age 16-29,-.116727587579883,.078104354,.13524614,
regression,2,Model 2: BIP,demographics,Age 16-29,.223902362882273,.27764598,.42067385,
regression,3,Model 2: Non-BIP,demographics,Age 16-29,-.1274505473070811,.077744864,.10135,
regression,1,Model 1: pooled,demographics,Age 30-49,-.0503415444685814,.079162404,.52491748,
regression,2,Model 2: BIP,demographics,Age 30-49,.1895922439167861,.3540912,.59277219,
regression,3,Model 2: Non-BIP,demographics,Age 30-49,-.0498524050495449,.078072876,.52322114,
regression,1,Model 1: pooled,demographics,Age 50-69,.0378190909386414,.052986406,.4754886,
regression,2,Model 2: BIP,demographics,Age 50-69,.2120982843881468,.25385499,.40413815,
regression,3,Model 2: Non-BIP,demographics,Age 50-69,.0393386368922967,.05197861,.44927365,
regression,1,Model 1: pooled,demographics,Female,-.1883491988423062,.032307278,6.7329466e-09,
regression,2,Model 2: BIP,demographics,Female,.0077627918855836,.10272047,.9398132,
regression,3,Model 2: Non-BIP,demographics,Female,-.1953968856462958,.032333769,1.9008388e-09,
regression,1,Model 1: pooled,employment,Employment reduction,.0312733926824444,.042315386,.45998544,
regression,2,Model 2: BIP,employment,Employment reduction,.2250713033141439,.12868783,.081383988,
regression,3,Model 2: Non-BIP,employment,Employment reduction,.0257519386127532,.042173188,.54154074,
regression,1,Model 1: pooled,employment,Job loss,-.1786909501943509,.093585357,.056396022,
regression,2,Model 2: BIP,employment,Job loss,-.2197333697108668,.25394827,.38762709,
regression,3,Model 2: Non-BIP,employment,Job loss,-.1631006459048618,.09584301,.089008488,
regression,1,Model 1: pooled,employment,Key worker,.0428897947342767,.052521378,.41427329,
regression,2,Model 2: BIP,employment,Key worker,.1186832875392161,.15221758,.43622428,
regression,3,Model 2: Non-BIP,employment,Key worker,.0400473319188125,.052774258,.44806543,
regression,1,Model 1: pooled,employment,Self-employed,-.0617433965991944,.051886305,.23423828,
regression,2,Model 2: BIP,employment,Self-employed,.0065938296120187,.18348961,.97135901,
regression,3,Model 2: Non-BIP,employment,Self-employed,-.0629355144006528,.051617719,.22293526,
regression,1,Model 1: pooled,financial,Financial better,.2289649127780391,.047068547,1.2640201e-06,
regression,2,Model 2: BIP,financial,Financial better,-.0000473045345318,.18027622,.99979085,
regression,3,Model 2: Non-BIP,financial,Financial better,.2366757416105833,.04708422,5.5867906e-07,
regression,1,Model 1: pooled,financial,Financial difficulties,-.1011099106569809,.046897504,.031238781,
regression,2,Model 2: BIP,financial,Financial difficulties,-.3860658251985817,.12929593,.0030755368,
regression,3,Model 2: Non-BIP,financial,Financial difficulties,-.087910997741712,.047013622,.061690409,
regression,1,Model 1: pooled,financial,Financial worse,-.2240991296422605,.044762094,6.1767150e-07,
regression,2,Model 2: BIP,financial,Financial worse,-.6334877597632999,.15343957,.000048120986,
regression,3,Model 2: Non-BIP,financial,Financial worse,-.2074163800712033,.0445164,3.4515347e-06,
regression,1,Model 1: pooled,footer,Observations,,,,11385
regression,2,Model 2: BIP,footer,Observations,,,,718
regression,3,Model 2: Non-BIP,footer,Observations,,,,10667
regression,1,Model 1: pooled,health,Arthritis,.1079735904998622,.053518042,.043813366,
regression,2,Model 2: BIP,health,Arthritis,-.4004558190761154,.37722379,.28933156,
regression,3,Model 2: Non-BIP,health,Arthritis,.1152901742569745,.052029848,.026850644,
regression,1,Model 1: pooled,health,COVID symptoms,-.0889159638712247,.048755515,.068388022,
regression,2,Model 2: BIP,health,COVID symptoms,-.1443962095467638,.20129122,.47375205,
regression,3,Model 2: Non-BIP,health,COVID symptoms,-.0859592275750259,.048529092,.076713718,
regression,1,Model 1: pooled,health,Cardiovascular condition,.0210599570419928,.045545414,.64386314,
regression,2,Model 2: BIP,health,Cardiovascular condition,.0988384951775359,.24486735,.68678266,
regression,3,Model 2: Non-BIP,health,Cardiovascular condition,.0187854887452899,.04490881,.67578512,
regression,1,Model 1: pooled,health,Endocrine condition,-.0115236509326668,.048430305,.8119567,
regression,2,Model 2: BIP,health,Endocrine condition,.2239049825739127,.13856138,.10722842,
regression,3,Model 2: Non-BIP,health,Endocrine condition,-.0182344182073643,.048407868,.70646214,
regression,1,Model 1: pooled,health,Other chronic condition,.0263487635849129,.050659329,.60305643,
regression,2,Model 2: BIP,health,Other chronic condition,.2452405717979977,.22883958,.28478444,
regression,3,Model 2: Non-BIP,health,Other chronic condition,.0224544483594731,.049879983,.6526528,
regression,1,Model 1: pooled,health,Respiratory condition,-.0019287937974186,.052310381,.97059172,
regression,2,Model 2: BIP,health,Respiratory condition,-.1869636654956043,.31730849,.55618721,
regression,3,Model 2: Non-BIP,health,Respiratory condition,.0022216373358807,.051592927,.96565866,
regression,1,Model 1: pooled,household,Dependent children,.008661230601006,.049819548,.8620044,
regression,2,Model 2: BIP,household,Dependent children,.1664327891320413,.15972602,.29830918,
regression,3,Model 2: Non-BIP,household,Dependent children,.0018127561276941,.051013164,.97165775,
regression,1,Model 1: pooled,household,Dependent children squared,-.0172641613786605,.014286188,.22705786,
regression,2,Model 2: BIP,household,Dependent children squared,-.0382318427469712,.031854708,.23107111,
regression,3,Model 2: Non-BIP,household,Dependent children squared,-.0163242998839836,.015090994,.2795476,
regression,1,Model 1: pooled,household,Single occupancy,.0568024960419402,.1401629,.68534184,
regression,2,Model 2: BIP,household,Single occupancy,.2950249881924223,.26659414,.26939067,
regression,3,Model 2: Non-BIP,household,Single occupancy,.0411670303454094,.13942191,.76782864,
regression,1,Model 1: pooled,household,Single occupancy x children,-.2010443020160533,.31181464,.51918072,
regression,2,Model 2: BIP,household,Single occupancy x children,-.0342288418859002,.76911455,.96453398,
regression,3,Model 2: Non-BIP,household,Single occupancy x children,-.1871210268365809,.30607668,.54105765,
regression,1,Model 1: pooled,household,Single occupancy x children squared,.1099592238128665,.12727159,.3877362,
regression,2,Model 2: BIP,household,Single occupancy x children squared,.090175083289261,.56307358,.87287921,
regression,3,Model 2: Non-BIP,household,Single occupancy x children squared,.1074131676289642,.12386964,.38599935,
regression,1,Model 1: pooled,housing,Bedroom-per-person ratio,-.1053514926831925,.096852794,.27687499,
regression,2,Model 2: BIP,housing,Bedroom-per-person ratio,-.1463470857235765,.31896478,.64671761,
regression,3,Model 2: Non-BIP,housing,Bedroom-per-person ratio,-.1143655323633881,.096900269,.23809084,
regression,1,Model 1: pooled,housing,Bedroom-per-person ratio squared,.0178197875238113,.024527639,.46763045,
regression,2,Model 2: BIP,housing,Bedroom-per-person ratio squared,.1455984562717521,.085303962,.088956408,
regression,3,Model 2: Non-BIP,housing,Bedroom-per-person ratio squared,.0184724041499808,.024433138,.44974375,
regression,1,Model 1: pooled,housing,Number of rooms,-.0435193313483856,.030905008,.15928268,
regression,2,Model 2: BIP,housing,Number of rooms,-.2363500778710892,.2020312,.24304137,
regression,3,Model 2: Non-BIP,housing,Number of rooms,-.0379394531885071,.030542593,.2143624,
regression,1,Model 1: pooled,housing,Number of rooms squared,.0048371948151241,.0032226425,.13355829,
regression,2,Model 2: BIP,housing,Number of rooms squared,.0295021241401777,.037773464,.43544132,
regression,3,Model 2: Non-BIP,housing,Number of rooms squared,.0044046329457093,.0031411201,.16104642,
regression,1,Model 1: pooled,main,BIP,-.1325197150107137,.064166538,.039065406,
