table,col,model,panel,row,coef,se,p,N
oaxaca,1,Oaxaca: pooled price,explained_demographics,Age 16-29,.0274997445379708,.016875453,.10319224,
oaxaca,2,Oaxaca: WM price,explained_demographics,Age 16-29,.0300259567154229,.017454924,.085396118,
oaxaca,1,Oaxaca: pooled price,explained_demographics,Age 30-49,.0045221176860004,.0064764684,.48502824,
oaxaca,2,Oaxaca: WM price,explained_demographics,Age 30-49,.0044781789065868,.0065774019,.49597076,
oaxaca,1,Oaxaca: pooled price,explained_demographics,Age 50-69,.0070734506226067,.0086916536,.41574746,
oaxaca,2,Oaxaca: WM price,explained_demographics,Age 50-69,.0073576571702839,.0087993192,.40306374,
oaxaca,1,Oaxaca: pooled price,explained_demographics,Female,-.0146990204545876,.0072125266,.041551441,
oaxaca,2,Oaxaca: WM price,explained_demographics,Female,-.0152490312490381,.0074787159,.04145097,
oaxaca,1,Oaxaca: pooled price,explained_employment,Employment reduction,.0023574822843527,.002980537,.42896795,
oaxaca,2,Oaxaca: WM price,explained_employment,Employment reduction,.0019412584903647,.0029769721,.51434207,
oaxaca,1,Oaxaca: pooled price,explained_employment,Job loss,.0056424901342767,.003988679,.1571781,
oaxaca,2,Oaxaca: WM price,explained_employment,Job loss,.0051501980621368,.0040969374,.20872292,
oaxaca,1,Oaxaca: pooled price,explained_employment,Key worker,-.0002926619517811,.001085991,.78755391,
oaxaca,2,Oaxaca: WM price,explained_employment,Key worker,-.00027326617895,.0010236478,.78950512,
oaxaca,1,Oaxaca: pooled price,explained_employment,Self-employed,-.0006427574607019,.00094642496,.49704754,
oaxaca,2,Oaxaca: WM price,explained_employment,Self-employed,-.000655167575032,.00096713641,.49813294,
oaxaca,1,Oaxaca: pooled price,explained_financial,Financial difficulties,.0065139293913875,.0045400849,.15135567,
oaxaca,2,Oaxaca: WM price,explained_financial,Financial difficulties,.0056635994265553,.0042239684,.17997751,
oaxaca,1,Oaxaca: pooled price,explained_financial,Financial status improved,-.0021400498669183,.0072719725,.7685383,
oaxaca,2,Oaxaca: WM price,explained_financial,Financial status improved,-.0022121201156595,.0075168055,.76853639,
oaxaca,1,Oaxaca: pooled price,explained_financial,Financial status worsened,.0157664324226467,.0067561967,.019615348,
oaxaca,2,Oaxaca: WM price,explained_financial,Financial status worsened,.0145927221804165,.0063658454,.021885669,
oaxaca,1,Oaxaca: pooled price,explained_health,Arthritis,.0076207595442052,.0036871198,.03874737,
oaxaca,2,Oaxaca: WM price,explained_health,Arthritis,.0081371629095083,.0037371861,.029454451,
oaxaca,1,Oaxaca: pooled price,explained_health,COVID symptoms,.0013763462773843,.0020731546,.50676078,
oaxaca,2,Oaxaca: WM price,explained_health,COVID symptoms,.0013305784217901,.0020167239,.50940001,
oaxaca,1,Oaxaca: pooled price,explained_health,Cardiovascular condition,.0027230851334886,.0053049601,.60773498,
oaxaca,2,Oaxaca: WM price,explained_health,Cardiovascular condition,.0024289928524363,.0053892611,.65219873,
oaxaca,1,Oaxaca: pooled price,explained_health,Endocrine condition,.0003989445908984,.0016904747,.81343609,
oaxaca,2,Oaxaca: WM price,explained_health,Endocrine condition,.0006312689055328,.0017723541,.72170925,
oaxaca,1,Oaxaca: pooled price,explained_health,Other chronic condition,.0030524224032981,.0051202341,.5510757,
oaxaca,2,Oaxaca: WM price,explained_health,Other chronic condition,.0026012780829459,.0051784907,.61543989,
oaxaca,1,Oaxaca: pooled price,explained_health,Respiratory condition,-.0001464583173526,.0034542752,.9661805,
oaxaca,2,Oaxaca: WM price,explained_health,Respiratory condition,.0001686946870195,.0035103282,.96167105,
oaxaca,1,Oaxaca: pooled price,explained_household,Dependent children,-.0024873639826896,.013102665,.84943724,
oaxaca,2,Oaxaca: WM price,explained_household,Dependent children,-.0005205939558869,.013811762,.96993321,
oaxaca,1,Oaxaca: pooled price,explained_household,Dependent children squared,.0149021385436218,.01206605,.21681304,
oaxaca,2,Oaxaca: WM price,explained_household,Dependent children squared,.0140908656472272,.012960346,.27693558,
oaxaca,1,Oaxaca: pooled price,explained_household,Single occupancy,.0012298734817217,.0026614757,.6440081,
oaxaca,2,Oaxaca: WM price,explained_household,Single occupancy,.0008913382768544,.0026840586,.7398243,
oaxaca,1,Oaxaca: pooled price,explained_household,Single occupancy x children,-.0081607286618656,.010960928,.45655653,
oaxaca,2,Oaxaca: WM price,explained_household,Single occupancy x children,-.0075955593450297,.01108039,.4930312,
oaxaca,1,Oaxaca: pooled price,explained_household,Single occupancy x children squared,.0095111204132373,.009474339,.31543541,
oaxaca,2,Oaxaca: WM price,explained_household,Single occupancy x children squared,.0092908947140711,.0095134685,.32876503,
oaxaca,1,Oaxaca: pooled price,explained_housing,Bedroom-per-person ratio,-.0382145137233539,.032427311,.23861049,
oaxaca,2,Oaxaca: WM price,explained_housing,Bedroom-per-person ratio,-.0414842077190294,.033430286,.21463642,
oaxaca,1,Oaxaca: pooled price,explained_housing,Bedroom-per-person ratio squared,.0149289690788624,.019252032,.43807441,
oaxaca,2,Oaxaca: WM price,explained_housing,Bedroom-per-person ratio squared,.0154757148478238,.019678721,.43162221,
oaxaca,1,Oaxaca: pooled price,explained_housing,Number of rooms,-.0097530376764073,.0072421222,.17807367,
oaxaca,2,Oaxaca: WM price,explained_housing,Number of rooms,-.0085025413972388,.0070551205,.22814195,
oaxaca,1,Oaxaca: pooled price,explained_housing,Number of rooms squared,.005411257069348,.0037507378,.1490999,
oaxaca,2,Oaxaca: WM price,explained_housing,Number of rooms squared,.0049273601904209,.0036593934,.17814247,
oaxaca,1,Oaxaca: pooled price,footer,Observations,,,,11385
oaxaca,2,Oaxaca: WM price,footer,Observations,,,,11385
oaxaca,1,Oaxaca: pooled price,overall,Group gap,.1865136865303635,.060406908,.0020176505,
oaxaca,2,Oaxaca: WM price,overall,Group gap,.1865136865303635,.060406908,.0020176505,
oaxaca,1,Oaxaca: pooled price,overall,Total composition effect,.0539939715196496,.025793135,.036318231,
oaxaca,2,Oaxaca: WM price,overall,Total composition effect,.0526912329515329,.026119124,.043659728,
oaxaca,1,Oaxaca: pooled price,overall,Total structural effect,.1325197150107138,.061658867,.031615369,
oaxaca,2,Oaxaca: WM price,overall,Total structural effect,.1338224535788305,.062239815,.031546503,
oaxaca,1,Oaxaca: pooled price,unexplained_constant,Constant,.2369551444043136,.37594527,.52850384,
oaxaca,2,Oaxaca: WM price,unexplained_constant,Constant,.2369551444043136,.37594527,.52850384,
oaxaca,1,Oaxaca: pooled price,unexplained_demographics,Age 16-29,-.1434560805921907,.11391165,.20789936,
oaxaca,2,Oaxaca: WM price,unexplained_demographics,Age 16-29,-.1459822927696428,.11468574,.20305723,
oaxaca,1,Oaxaca: pooled price,unexplained_demographics,Age 30-49,-.0929515992807836,.12367252,.45229486,
oaxaca,2,Oaxaca: WM price,unexplained_demographics,Age 30-49,-.09290766050137,.1241013,.45407194,
oaxaca,1,Oaxaca: pooled price,unexplained_demographics,Age 50-69,-.0305428833529509,.046792235,.51392776,
oaxaca,2,Oaxaca: WM price,unexplained_demographics,Age 50-69,-.0308270899006282,.046464127,.50703597,
oaxaca,1,Oaxaca: pooled price,unexplained_demographics,Female,-.0907912345524651,.042405207,.032270834,
oaxaca,2,Oaxaca: WM price,unexplained_demographics,Female,-.0902412237580146,.042156748,.032305375,
oaxaca,1,Oaxaca: pooled price,unexplained_employment,Employment reduction,-.0452958159918285,.028957676,.11776882,
oaxaca,2,Oaxaca: WM price,unexplained_employment,Employment reduction,-.0448795921978404,.028673852,.11754192,
oaxaca,1,Oaxaca: pooled price,unexplained_employment,Job loss,.0026825874108138,.012949334,.83588469,
oaxaca,2,Oaxaca: WM price,unexplained_employment,Job loss,.0031748794829537,.013535808,.81455481,
oaxaca,1,Oaxaca: pooled price,unexplained_employment,Key worker,-.0148555745435924,.026683263,.57770675,
oaxaca,2,Oaxaca: WM price,unexplained_employment,Key worker,-.0148749703164235,.026725151,.57780713,
oaxaca,1,Oaxaca: pooled price,unexplained_employment,Self-employed,-.0043475433151858,.010028102,.66462541,
oaxaca,2,Oaxaca: WM price,unexplained_employment,Self-employed,-.0043351332008557,.0099844206,.66415066,
oaxaca,1,Oaxaca: pooled price,unexplained_financial,Financial difficulties,.0955536956449913,.042052768,.023072431,
oaxaca,2,Oaxaca: WM price,unexplained_financial,Financial difficulties,.0964040256098235,.042517982,.023367589,
oaxaca,1,Oaxaca: pooled price,unexplained_financial,Financial status improved,.0549612126427883,.036600303,.13318494,
oaxaca,2,Oaxaca: WM price,unexplained_financial,Financial status improved,.0550332828915294,.036699284,.13372487,
oaxaca,1,Oaxaca: pooled price,unexplained_financial,Financial status worsened,.0974930314972946,.034560308,.004788111,
oaxaca,2,Oaxaca: WM price,unexplained_financial,Financial status worsened,.0986667417395249,.03518264,.0050407881,
oaxaca,1,Oaxaca: pooled price,unexplained_health,Arthritis,.0229591931500125,.014172615,.10523901,
oaxaca,2,Oaxaca: WM price,unexplained_health,Arthritis,.0224427897847094,.013863814,.10548957,
oaxaca,1,Oaxaca: pooled price,unexplained_health,COVID symptoms,.0072946816525295,.021835933,.7383284,
oaxaca,2,Oaxaca: WM price,unexplained_health,COVID symptoms,.0073404495081237,.021954427,.73811591,
oaxaca,1,Oaxaca: pooled price,unexplained_health,Cardiovascular condition,-.0055421346348218,.013971277,.691603,
oaxaca,2,Oaxaca: WM price,unexplained_health,Cardiovascular condition,-.0052480423537695,.013543993,.69840002,
oaxaca,1,Oaxaca: pooled price,unexplained_health,Endocrine condition,-.0317096446653544,.019468861,.10336882,
oaxaca,2,Oaxaca: WM price,unexplained_health,Endocrine condition,-.0319419689799888,.019732188,.10549571,
oaxaca,1,Oaxaca: pooled price,unexplained_health,Other chronic condition,-.0207445125128031,.025283789,.41194999,
oaxaca,2,Oaxaca: WM price,unexplained_health,Other chronic condition,-.0202933681924509,.024710236,.41150188,
oaxaca,1,Oaxaca: pooled price,unexplained_health,Respiratory condition,.0168619867780466,.022667384,.45694447,
oaxaca,2,Oaxaca: WM price,unexplained_health,Respiratory condition,.0165468337736745,.02223601,.45678827,
oaxaca,1,Oaxaca: pooled price,unexplained_household,Dependent children,-.1291561911100896,.11157581,.24704184,
oaxaca,2,Oaxaca: WM price,unexplained_household,Dependent children,-.1311229611368922,.11379111,.24919252,
oaxaca,1,Oaxaca: pooled price,unexplained_household,Dependent children squared,.0415746473309173,.057450403,.46927354,
oaxaca,2,Oaxaca: WM price,unexplained_household,Dependent children squared,.0423859202273119,.05953794,.47651777,
oaxaca,1,Oaxaca: pooled price,unexplained_household,Single occupancy,-.0064899874901443,.0066705695,.33058882,
oaxaca,2,Oaxaca: WM price,unexplained_household,Single occupancy,-.006151452285277,.0065124515,.34487954,
oaxaca,1,Oaxaca: pooled price,unexplained_household,Single occupancy x children,-.0009034705230078,.0070200693,.89759642,
oaxaca,2,Oaxaca: WM price,unexplained_household,Single occupancy x children,-.0014686398398437,.006681168,.82601303,
oaxaca,1,Oaxaca: pooled price,unexplained_household,Single occupancy x children squared,.0000222388151245,.0064261444,.99723876,
oaxaca,2,Oaxaca: WM price,unexplained_household,Single occupancy x children squared,.0002424645142907,.0063448078,.96951658,
