panel,row,col,coef,se,p
explained,Age,1,.0209872217119445,.010282867,.041251875
explained,Age,2,.0221300052020053,.010867537,.041716181
explained,Age,3,,,
explained,Age,4,.0237618170381202,.0097047463,.014346289
explained,Age,5,.0169465106740389,.0096407058,.078780159
explained,Employment and financial,1,.016759017082585,.0082830433,.04304304
explained,Employment and financial,2,.0156095077296109,.0086528193,.071234539
explained,Employment and financial,3,,,
explained,Employment and financial,4,,,
explained,Employment and financial,5,.0151737250124716,.0082348352,.065383568
explained,Health,1,.012580254293672,.0064162742,.04991648
explained,Health,2,.0129793214832527,.0065652039,.048043128
explained,Health,3,,,
explained,Health,4,,,
explained,Health,5,.0129496102099199,.0064875688,.045926835
explained,Household composition,1,.0070610556981666,.0051853312,.173281
explained,Household composition,2,.007100596719636,.0057231141,.21472119
explained,Household composition,3,,,
explained,Household composition,4,.007963152820208,.0054457909,.14367045
explained,Household composition,5,.0052095271764808,.004911941,.28887889
explained,Housing,1,-.0148335512797977,.0083727343,.076452732
explained,Housing,2,-.0188151255703699,.0091045126,.038774554
explained,Housing,3,.0061744080275694,.0073417877,.40035066
explained,Housing,4,-.0123468880861894,.0085153086,.14706866
explained,Housing,5,,,
explained,Sex,1,.0013951768363959,.0041419389,.73623639
explained,Sex,2,.0014608748951904,.004337335,.73625714
explained,Sex,3,,,
explained,Sex,4,.0012824283372994,.0038082895,.73630798
explained,Sex,5,.0013950879173583,.0041417237,.73623937
explained,Total composition effect,1,.0439491743429662,.013834764,.001489507
explained,Total composition effect,2,.0404651804593256,.0145997,.0055773882
explained,Total composition effect,3,.0061744080275694,.0073417877,.40035066
explained,Total composition effect,4,.0206605101094382,.0095393183,.030324426
explained,Total composition effect,5,.0516744609902696,.01322116,.000092883776
footer,Observations,1,12533,,
footer,Observations,2,12533,,
footer,Observations,3,12533,,
footer,Observations,4,12533,,
footer,Observations,5,12533,,
overall,Group gap,1,.0310256147412574,.044308424,.48379034
overall,Group gap,2,.0310256147412574,.044308424,.48379034
overall,Group gap,3,.0310256147412571,.047330033,.51213533
overall,Group gap,4,.0310256147412574,.046154346,.50144726
overall,Group gap,5,.0310256147412572,.044154592,.48226836
unexplained,Age,1,-.066884184393124,.2162372,.75708622
unexplained,Age,2,-.0680269678831848,.21770597,.754682
unexplained,Age,3,,,
unexplained,Age,4,-.0625435167156785,.1943945,.74765342
unexplained,Age,5,-.0283961977126714,.20556054,.89012951
unexplained,Constant,1,.4036182949547199,.32518077,.21452743
unexplained,Constant,2,.4036182949547199,.32518077,.21452743
unexplained,Constant,3,.3623611258098912,.18857318,.054656837
unexplained,Constant,4,.490016604583815,.32098213,.1268564
unexplained,Constant,5,-.0541308408418208,.21279372,.79920065
unexplained,Employment and financial,1,.0855645163932867,.06077775,.1591825
unexplained,Employment and financial,2,.0867140257462609,.062132075,.16282284
unexplained,Employment and financial,3,,,
unexplained,Employment and financial,4,,,
unexplained,Employment and financial,5,.0981118931644522,.060541436,.10510898
unexplained,Health,1,-.0186556244899047,.035910476,.60340953
unexplained,Health,2,-.0190546916794855,.035740476,.59393638
unexplained,Health,3,,,
unexplained,Health,4,,,
unexplained,Health,5,-.0193676379476947,.035903275,.58958375
unexplained,Household composition,1,-.0001427814068664,.03812005,.99701148
unexplained,Household composition,2,-.0001823224283358,.039502691,.99631745
unexplained,Household composition,3,,,
unexplained,Household composition,4,.0009576917733307,.039477348,.98064578
unexplained,Household composition,5,.0137218402394319,.034977969,.69483691
unexplained,Housing,1,-.3889904559333635,.17563236,.026773831
unexplained,Housing,2,-.3850088816427912,.17387185,.026806392
unexplained,Housing,3,-.3375099190962034,.17415969,.052631311
unexplained,Housing,4,-.390042684921026,.19412364,.044510752
unexplained,Housing,5,,,
unexplained,Sex,1,-.027433324726457,.042673636,.52031261
unexplained,Sex,2,-.0274990227852515,.04274122,.51997489
unexplained,Sex,3,,,
unexplained,Sex,4,-.0280229900886221,.045214053,.53539938
unexplained,Sex,5,-.0305879031507096,.042697061,.47374833
unexplained,Total structural effect,1,-.0129235596017088,.045321669,.77552778
unexplained,Total structural effect,2,-.0094395657180682,.046271164,.83834928
unexplained,Total structural effect,3,.0248512067136878,.048412126,.60772324
unexplained,Total structural effect,4,.0103651046318192,.047822062,.82840854
unexplained,Total structural effect,5,-.0206488462490124,.044751815,.64450592
