panel,row,col,coef,se,p
explained,Age,1,.039095312846578,.015602422,.012220209
explained,Age,2,.0418617927922937,.016161539,.0095917163
explained,Age,3,,,
explained,Age,4,.0406277991132708,.014879816,.0063258172
explained,Age,5,.0310131298587224,.014271144,.029770123
explained,Employment and financial,1,.0272048649532623,.011988371,.02325183
explained,Employment and financial,2,.0242072242898319,.011898206,.041898463
explained,Employment and financial,3,,,
explained,Employment and financial,4,,,
explained,Employment and financial,5,.0258385159806083,.01196319,.030785447
explained,Health,1,.0150250996319219,.0095858546,.11701561
explained,Health,2,.0152979758592328,.0097846156,.11794153
explained,Health,3,,,
explained,Health,4,,,
explained,Health,5,.0155895204476765,.0096975407,.10792837
explained,Household composition,1,.0149950397940257,.0090042111,.095845677
explained,Household composition,2,.0161569453372361,.0094452715,.087157652
explained,Household composition,3,,,
explained,Household composition,4,.0166512501164228,.0093919095,.076239385
explained,Household composition,5,.012144705793856,.0083988914,.14818025
explained,Housing,1,-.0276273252515508,.015708407,.078618221
explained,Housing,2,-.0295836740780236,.016194424,.067732617
explained,Housing,3,.0082822478409909,.013481663,.53899443
explained,Housing,4,-.0231287343515933,.015905872,.14591847
explained,Housing,5,,,
explained,Sex,1,-.0146990204545876,.0072125266,.041551441
explained,Sex,2,-.0152490312490381,.0074787159,.04145097
explained,Sex,3,,,
explained,Sex,4,-.0136211435689449,.0067475936,.043521859
explained,Sex,5,-.0146713059040774,.0072040209,.041695759
explained,Total composition effect,1,.0539939715196496,.025793135,.036318231
explained,Total composition effect,2,.0526912329515329,.026119124,.043659728
explained,Total composition effect,3,.0082822478409909,.013481663,.53899443
explained,Total composition effect,4,.0205291713091555,.019369368,.28920001
explained,Total composition effect,5,.0699145661767858,.023501072,.0029303427
footer,Observations,1,11385,,
footer,Observations,2,11385,,
footer,Observations,3,11385,,
footer,Observations,4,11385,,
footer,Observations,5,11385,,
overall,Group gap,1,.1865136865303635,.060406908,.0020176505
overall,Group gap,2,.1865136865303635,.060406908,.0020176505
overall,Group gap,3,.1865136865303632,.062805027,.0029806586
overall,Group gap,4,.1865136865303631,.062337421,.0027715443
overall,Group gap,5,.1865136865303632,.060653295,.0021044663
unexplained,Age,1,-.2669505632259253,.26534232,.31438625
unexplained,Age,2,-.269717043171641,.2658059,.31024206
unexplained,Age,3,,,
unexplained,Age,4,-.2442376340781174,.22222085,.27173483
unexplained,Age,5,-.121969260993505,.25751874,.63576198
unexplained,Constant,1,.2369551444043136,.37594527,.52850384
unexplained,Constant,2,.2369551444043136,.37594527,.52850384
unexplained,Constant,3,-.1392792848912018,.26064068,.59308362
unexplained,Constant,4,.4457067310764258,.35419208,.20825589
unexplained,Constant,5,.2107750502130669,.24674578,.39298341
unexplained,Employment and financial,1,.1861915933452813,.069576204,.007448853
unexplained,Employment and financial,2,.1891892340087118,.070023321,.0068964553
unexplained,Employment and financial,3,,,
unexplained,Employment and financial,4,,,
unexplained,Employment and financial,5,.1937007664183527,.071608588,.0068305745
unexplained,Health,1,-.0108804302323906,.033853076,.74790615
unexplained,Health,2,-.0111533064597015,.03376456,.74115378
unexplained,Health,3,,,
unexplained,Health,4,,,
unexplained,Health,5,-.0072061183168037,.034373865,.83394909
unexplained,Household composition,1,-.0949527629771999,.066126727,.15102477
unexplained,Household composition,2,-.0961146685204103,.067217879,.15274647
unexplained,Household composition,3,,,
unexplained,Household composition,4,-.0893512213339257,.076644383,.24369954
unexplained,Household composition,5,-.0713619409431127,.065940127,.27915332
unexplained,Housing,1,.1729479682490997,.22860667,.44933107
unexplained,Housing,2,.1749043170755725,.22738418,.44177353
unexplained,Housing,3,.317510723580574,.25219736,.20803858
unexplained,Housing,4,.1112586998332022,.23898576,.641541
unexplained,Housing,5,,,
unexplained,Sex,1,-.0907912345524651,.042405207,.032270834
unexplained,Sex,2,-.0902412237580146,.042156748,.032305375
unexplained,Sex,3,,,
unexplained,Sex,4,-.0573920602763772,.049282949,.24420448
unexplained,Sex,5,-.0873393760244207,.04325337,.043461222
unexplained,Total structural effect,1,.1325197150107138,.061658867,.031615369
unexplained,Total structural effect,2,.1338224535788305,.062239815,.031546503
unexplained,Total structural effect,3,.1782314386893722,.064733274,.0058994167
unexplained,Total structural effect,4,.1659845152212076,.065420501,.011174493
unexplained,Total structural effect,5,.1165991203535774,.062179662,.060765624
