sex,period,theta,pval,stars,theta_display,p_display
Male,2019 (base),0,,,0.00,
Male,2016,.0018789203721971,.9954412,,0.00,1.00
Male,2017,-.3654070882777828,.22973934,,-0.37,0.23
Male,2018,.1422741758875652,.58321732,,0.14,0.58
Male,2020/04,-1.839435529029154,8.5287958e-08,***,-1.84***,0.00
Male,2020/05,-.7755602714663623,.02159282,**,-0.78**,0.02
Male,2020/06,-1.206263277115478,.00017243042,***,-1.21***,0.00
Male,2020/07,-1.071425264772535,.00084722094,***,-1.07***,0.00
Male,2020/09,-.4600463919840916,.13759692,,-0.46,0.14
Male,2020/11,-.4302800247345324,.21901648,,-0.43,0.22
Male,2021/01,-.7879444626395913,.030375022,**,-0.79**,0.03
Male,2021/03,-.7707744490243094,.017669367,**,-0.77**,0.02
Male,2021/09,-.7484615002412757,.032773316,**,-0.75**,0.03
Male,Joint pre-trend,,.38433355,,,0.38
Female,2019 (base),0,,,0.00,
Female,2016,.5068332111731884,.099299602,*,0.51*,0.10
Female,2017,.3773822849559421,.19397058,,0.38,0.19
Female,2018,.2448334464165751,.36309972,,0.24,0.36
Female,2020/04,-.4938261879043245,.12930226,,-0.49,0.13
Female,2020/05,-.1355600514770036,.67222929,,-0.14,0.67
Female,2020/06,-.777612152613678,.022330942,**,-0.78**,0.02
Female,2020/07,-.4567663465498817,.1805892,,-0.46,0.18
Female,2020/09,-.0957736627405247,.77579606,,-0.10,0.78
Female,2020/11,-.3391927597318405,.31899324,,-0.34,0.32
Female,2021/01,.2254820648550282,.53663945,,0.23,0.54
Female,2021/03,.0161641347734565,.96179414,,0.02,0.96
Female,2021/09,-.1139473852288094,.71327513,,-0.11,0.71
Female,Joint pre-trend,,.38999984,,,0.39
