sex,period,theta,pval,stars,theta_display,p_display
Female,2019 (base),0,,,0.00,
Female,2016,.5068332111731884,.099299602,*,0.51*,0.10
Female,2017,.3773822849559421,.19397058,,0.38,0.19
Female,2018,.2448334464165751,.36309972,,0.24,0.36
Female,2020/04,-.4938261879043245,.12930226,,-0.49,0.13
Female,2020/05,-.1355600514770036,.67222929,,-0.14,0.67
Female,2020/06,-.777612152613678,.022330942,**,-0.78**,0.02
Female,2020/07,-.4567663465498817,.1805892,,-0.46,0.18
Female,2020/09,-.0957736627405247,.77579606,,-0.10,0.78
Female,2020/11,-.3391927597318405,.31899324,,-0.34,0.32
Female,2021/01,.2254820648550282,.53663945,,0.23,0.54
Female,2021/03,.0161641347734565,.96179414,,0.02,0.96
Female,2021/09,-.1139473852288094,.71327513,,-0.11,0.71
Female,Joint pre-trend,,.38999984,,,0.39
