sex,period,theta,pval,stars,theta_display,p_display
Male,2019 (base),0,,,0.00,
Male,2016,.0018789203721971,.9954412,,0.00,1.00
Male,2017,-.3654070882777828,.22973934,,-0.37,0.23
Male,2018,.1422741758875652,.58321732,,0.14,0.58
Male,2020/04,-1.839435529029154,8.5287958e-08,***,-1.84***,0.00
Male,2020/05,-.7755602714663623,.02159282,**,-0.78**,0.02
Male,2020/06,-1.206263277115478,.00017243042,***,-1.21***,0.00
Male,2020/07,-1.071425264772535,.00084722094,***,-1.07***,0.00
Male,2020/09,-.4600463919840916,.13759692,,-0.46,0.14
Male,2020/11,-.4302800247345324,.21901648,,-0.43,0.22
Male,2021/01,-.7879444626395913,.030375022,**,-0.79**,0.03
Male,2021/03,-.7707744490243094,.017669367,**,-0.77**,0.02
Male,2021/09,-.7484615002412757,.032773316,**,-0.75**,0.03
Male,Joint pre-trend,,.38433355,,,0.38
