group,period,theta,pval,stars,theta_display,p_display
Baseline financial difficulty,2019 (base),0,,,0.00,
Baseline financial difficulty,2016,-.6472855045643569,.16312046,,-0.65,0.16
Baseline financial difficulty,2017,-.2755272926130791,.54438275,,-0.28,0.54
Baseline financial difficulty,2018,-.1822356207951068,.6679678,,-0.18,0.67
Baseline financial difficulty,2020/04,-2.137050437787414,.00001739943,***,-2.14***,0.00
Baseline financial difficulty,2020/05,-1.051129634296415,.051980015,*,-1.05*,0.05
Baseline financial difficulty,2020/06,-1.492513909574999,.0024677813,***,-1.49***,0.00
Baseline financial difficulty,2020/07,-1.947751370497994,.00053294259,***,-1.95***,0.00
Baseline financial difficulty,2020/09,-.575500269082861,.29666317,,-0.58,0.30
Baseline financial difficulty,2020/11,-.268498655633596,.61022431,,-0.27,0.61
Baseline financial difficulty,2021/01,-.7799580622946543,.18765345,,-0.78,0.19
Baseline financial difficulty,2021/03,-.3485084408494406,.48883709,,-0.35,0.49
Baseline financial difficulty,2021/09,-.5822931889918701,.23450638,,-0.58,0.23
Baseline financial difficulty,Joint pre-trend,,.58343947,,,0.58
