group,period,theta,pval,stars,theta_display,p_display
No baseline financial difficulty,2019 (base),0,,,0.00,
No baseline financial difficulty,2016,.4536280851343544,.11432434,,0.45,0.11
No baseline financial difficulty,2017,-.1452282721453396,.5972653,,-0.15,0.60
No baseline financial difficulty,2018,.1533035763440579,.52181166,,0.15,0.52
No baseline financial difficulty,2020/04,-.7379405331492321,.0079535013,***,-0.74***,0.01
No baseline financial difficulty,2020/05,-.3420910733731798,.20948818,,-0.34,0.21
No baseline financial difficulty,2020/06,-.7852994766225617,.0074569401,***,-0.79***,0.01
No baseline financial difficulty,2020/07,-.4175031852310722,.13106526,,-0.42,0.13
No baseline financial difficulty,2020/09,-.3306987894430254,.20725703,,-0.33,0.21
No baseline financial difficulty,2020/11,-.5576709950903774,.07195653,*,-0.56*,0.07
No baseline financial difficulty,2021/01,-.2566420660609824,.40576625,,-0.26,0.41
No baseline financial difficulty,2021/03,-.6021993445422154,.028824285,**,-0.60**,0.03
No baseline financial difficulty,2021/09,-.4805740122573878,.098250985,*,-0.48*,0.10
No baseline financial difficulty,Joint pre-trend,,.17614284,,,0.18
