period,theta,pval,stars,theta_display,p_display
2019 (base),0,,,0.00,
2016,.3293195423870353,.013984759,**,0.33**,0.01
2017,.2473099683643488,.051661287,*,0.25*,0.05
2018,.2542121105792214,.031978596,**,0.25**,0.03
2020/04,-.1947793263423434,.17778675,,-0.19,0.18
2020/05,-.0100867242178051,.94341028,,-0.01,0.94
2020/06,-.2507273387735187,.084623955,*,-0.25*,0.08
2020/07,-.0893585704841449,.5190438,,-0.09,0.52
2020/09,.1777073443502316,.20877951,,0.18,0.21
2020/11,.0436347981231608,.7714839,,0.04,0.77
2021/01,.2069482438381675,.16561179,,0.21,0.17
2021/03,.1657858031603633,.26086918,,0.17,0.26
2021/09,.0893139900254617,.54146934,,0.09,0.54
Joint pre-trend,,.051638171,,,0.05
