period,theta,pval,stars,theta_display,p_display
2019 (base),0,,,0.00,
2016,.2868782306616042,.20261289,,0.29,0.20
2017,.067280759067346,.75091755,,0.07,0.75
2018,.2030088867766256,.28400767,,0.20,0.28
2020/04,-1.063285085770012,7.3413976e-06,***,-1.06***,0.00
2020/05,-.4080143359426592,.080771357,*,-0.41*,0.08
2020/06,-.9591068775465325,.000058080368,***,-0.96***,0.00
2020/07,-.7201101249267514,.0025430317,***,-0.72***,0.00
2020/09,-.2515391633388027,.28177679,,-0.25,0.28
2020/11,-.3795662981258635,.12361489,,-0.38,0.12
2021/01,-.2048099499387249,.43224564,,-0.20,0.43
2021/03,-.3219895603348171,.17590651,,-0.32,0.18
2021/09,-.3865372699531425,.096286036,*,-0.39*,0.10
Joint pre-trend,,.48450041,,,0.48
