ethn_dv,ethn_str,mean_2019_ghq_likert,mean_CA_ghq_likert,mean_d_ghq_likert,sd_d_ghq_likert,n
any other mixed background,any other mixed background,-.10450817,-.93071049,-.8262023272157415,1.130319500368954,62
any other black background,any other black background,.55723512,-.24945159,-.8066867476153767,.9510234517302123,13
arab,arab,.095924832,-.45847917,-.5544039917537877,1.256443511034932,31
pakistani,pakistani,.2041811,-.20532779,-.4095088972750043,1.353495047083908,265
any other white background,any other white background,.096652545,-.29078445,-.3874369876644303,1.027352355032424,419
indian,indian,.042938087,-.28198749,-.324925582294659,.9761229852991704,435
chinese,chinese,.11241615,-.17684454,-.2892606833200774,.9497642670549972,63
bangladeshi,bangladeshi,-.25140911,-.52073491,-.269325804410622,1.45108121310299,101
white and black caribbean,white and black caribbean,-.5917958,-.8304981,-.2387022858215931,1.039372358175397,90
african,african,-.29055396,-.48888421,-.1983302436027034,1.111793198441389,114
british/english/scottish/welsh/northern irish,british/english/scottish/welsh/northern irish,.033266444,-.14566614,-.1789325776432208,.9887588995909197,12581
any other asian background,any other asian background,.092555843,.0073725018,-.0851833401415857,1.032155573715041,96
white and black african,white and black african,.05361845,-.026461655,-.0800801035787958,.842867873807492,32
irish,irish,-.064118132,-.13643846,-.0723203294974735,1.11656699899985,249
white and asian,white and asian,.12209317,.070628501,-.051464671815227,1.195544754269531,87
any other ethnic group,any other ethnic group,-.82143718,-.56367016,.2577670160763204,1.181134069308396,24
caribbean,caribbean,-.546826,-.16599326,.3808327258096249,1.029589714249306,131
